R,L,C,Time,Vin,VR,VL,VC,I
1000.0,1e-05,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1e-05,1e-08,1.0000000000000001e-11,0.01,9.990009980030343e-06,0.00999000998002996,9.990009980029962e-12,9.990009980030343e-09
1000.0,1e-05,1e-08,1.0840560001120562e-11,0.010840560001120561,1.090030785547147e-05,0.010829659682358843,1.0906246258353638e-11,1.090030785547147e-08
1000.0,1e-05,1e-08,1.2521680003361681e-11,0.012521680003361681,1.2862046933433471e-05,0.012508817943524634,1.290361475515584e-11,1.2862046933433472e-08
1000.0,1e-05,1e-08,1.588392000784392e-11,0.01588392000784392,1.763224270765265e-05,0.015866287747106196,1.8030070782135112e-11,1.763224270765265e-08
1000.0,1e-05,1e-08,2.26084000168084e-11,0.0226084000168084,3.055808177162764e-05,0.022577841900803957,3.4232814461462056e-11,3.0558081771627637e-08
1000.0,1e-05,1e-08,3.605736003473736e-11,0.03605736003473736,6.994017489608817e-05,0.035987419758028605,1.0181266625125258e-10,6.994017489608817e-08
1000.0,1e-05,1e-08,6.295528007059529e-11,0.06295528007059528,0.00020273515796873087,0.06275254444409392,4.685326312086607e-10,2.0273515796873086e-07
1000.0,1e-05,1e-08,1.167511201423111e-10,0.11675112014231111,0.0006837235976482198,0.11606739369174059,2.852922303575544e-09,6.837235976482198e-07
1000.0,1e-05,1e-08,2.2434280028574278e-10,0.22434280028574277,0.0025015315265254634,0.2218412487709475,1.9988269828341643e-08,2.5015315265254636e-06
1000.0,1e-05,1e-08,4.3952616057260615e-10,0.43952616057260613,0.009514920369883106,0.4300110909274283,1.4927529471807374e-07,9.514920369883107e-06
1000.0,1e-05,1e-08,8.698928811463328e-10,0.8698928811463328,0.03669700769313122,0.8331947297741102,1.1436790913114947e-06,3.6697007693131225e-05
1000.0,1e-05,1e-08,1e-09,1.0,0.04830831808101799,0.9516899852499895,1.696668992496091e-06,4.8308318081017985e-05
1000.0,1e-05,1e-08,1.0425796709741176e-09,1.0,0.05234340052785491,0.9476546799266754,1.9195454697103384e-06,5.234340052785491e-05
1000.0,1e-05,1e-08,1.1277390129223526e-09,1.0,0.0603793465839253,0.9396182539008566,2.399515218042169e-06,6.0379346583925295e-05
1000.0,1e-05,1e-08,1.2980576968188227e-09,1.0,0.07624765761996422,0.9237487793582407,3.5630217950783933e-06,7.624765761996421e-05
1000.0,1e-05,1e-08,1.6386950646117628e-09,1.0,0.10718698512454328,0.8928063276189683,6.687256488404763e-06,0.00010718698512454327
1000.0,1e-05,1e-08,2.319969800197643e-09,1.0,0.16600765576238619,0.8339763509507887,1.599328682509086e-05,0.00016600765576238618
1000.0,1e-05,1e-08,3.6825192713694034e-09,1.0,0.2723913708565351,0.7275627688385458,4.586030491918219e-05,0.00027239137085653507
1000.0,1e-05,1e-08,6.407618213712923e-09,1.0,0.4468721951333401,0.5529839413425934,0.0001438635240664441,0.0004468721951333401
1000.0,1e-05,1e-08,1.1857816098399963e-08,1.0,0.6836508933587355,0.31589716438992355,0.0004519422513409126,0.0006836508933587356
1000.0,1e-05,1e-08,2.0354365413045603e-08,1.0,0.8718300654558877,0.12705718125904336,0.0011127532850689487,0.0008718300654558877
