R,C,V_in,V_out
1363.6363636363635,6.5999999999999995e-06,5.0,0.0
1363.6363636363635,6.699999999999999e-06,5.0,0.0
1363.6363636363635,6.799999999999999e-06,5.0,0.0
1363.6363636363635,6.899999999999999e-06,5.0,0.0
1363.6363636363635,7e-06,5.0,0.0
1363.6363636363635,7.1e-06,5.0,0.0
1363.6363636363635,7.2e-06,5.0,0.0
1363.6363636363635,7.2999999999999996e-06,5.0,0.0
1363.6363636363635,7.3999999999999995e-06,5.0,0.0
1363.6363636363635,7.499999999999999e-06,5.0,0.0
1363.6363636363635,7.599999999999999e-06,5.0,0.0
1363.6363636363635,7.7e-06,5.0,0.0
1363.6363636363635,7.8e-06,5.0,0.0
1363.6363636363635,7.9e-06,5.0,0.0
1363.6363636363635,8e-06,5.0,0.0
1363.6363636363635,8.1e-06,5.0,0.0
1363.6363636363635,8.200000000000001e-06,5.0,0.0
1363.6363636363635,8.3e-06,5.0,0.0
1363.6363636363635,8.400000000000001e-06,5.0,0.0
1363.6363636363635,8.5e-06,5.0,0.0
1363.6363636363635,8.6e-06,5.0,0.0
1363.6363636363635,8.7e-06,5.0,0.0
1363.6363636363635,8.8e-06,5.0,0.0
1363.6363636363635,8.900000000000001e-06,5.0,0.0
1363.6363636363635,9e-06,5.0,0.0
1363.6363636363635,9.100000000000001e-06,5.0,0.0
1363.6363636363635,9.2e-06,5.0,0.0
1363.6363636363635,9.3e-06,5.0,0.0
1363.6363636363635,9.4e-06,5.0,0.0
1363.6363636363635,9.5e-06,5.0,0.0
1363.6363636363635,9.6e-06,5.0,0.0
1363.6363636363635,9.7e-06,5.0,0.0
1363.6363636363635,9.800000000000001e-06,5.0,0.0
1363.6363636363635,9.9e-06,5.0,0.0
1363.6363636363635,1e-05,5.0,0.0
1454.5454545454545,1e-07,5.0,0.0
1454.5454545454545,2e-07,5.0,0.0
1454.5454545454545,3e-07,5.0,0.0
1454.5454545454545,4e-07,5.0,0.0
1454.5454545454545,5e-07,5.0,0.0
1454.5454545454545,6e-07,5.0,0.0
1454.5454545454545,7e-07,5.0,0.0
1454.5454545454545,8e-07,5.0,0.0
1454.5454545454545,9e-07,5.0,0.0
1454.5454545454545,1e-06,5.0,0.0
1454.5454545454545,1.1e-06,5.0,0.0
1454.5454545454545,1.2e-06,5.0,0.0
1454.5454545454545,1.2999999999999998e-06,5.0,0.0
1454.5454545454545,1.3999999999999997e-06,5.0,0.0
1454.5454545454545,1.5e-06,5.0,0.0
1454.5454545454545,1.6e-06,5.0,0.0
1454.5454545454545,1.6999999999999998e-06,5.0,0.0
1454.5454545454545,1.7999999999999997e-06,5.0,0.0
1454.5454545454545,1.9e-06,5.0,0.0
1454.5454545454545,2e-06,5.0,0.0
1454.5454545454545,2.1e-06,5.0,0.0
1454.5454545454545,2.1999999999999997e-06,5.0,0.0
1454.5454545454545,2.3e-06,5.0,0.0
1454.5454545454545,2.4e-06,5.0,0.0
1454.5454545454545,2.4999999999999998e-06,5.0,0.0
1454.5454545454545,2.5999999999999997e-06,5.0,0.0
1454.5454545454545,2.6999999999999996e-06,5.0,0.0
1454.5454545454545,2.8e-06,5.0,0.0
1454.5454545454545,2.8999999999999998e-06,5.0,0.0
1454.5454545454545,2.9999999999999997e-06,5.0,0.0
1454.5454545454545,3.1e-06,5.0,0.0
1454.5454545454545,3.2e-06,5.0,0.0
1454.5454545454545,3.2999999999999997e-06,5.0,0.0
1454.5454545454545,3.3999999999999996e-06,5.0,0.0
1454.5454545454545,3.4999999999999995e-06,5.0,0.0
1454.5454545454545,3.6e-06,5.0,0.0
1454.5454545454545,3.6999999999999997e-06,5.0,0.0
1454.5454545454545,3.7999999999999996e-06,5.0,0.0
1454.5454545454545,3.9e-06,5.0,0.0
1454.5454545454545,4e-06,5.0,0.0
1454.5454545454545,4.1e-06,5.0,0.0
1454.5454545454545,4.2e-06,5.0,0.0
1454.5454545454545,4.2999999999999995e-06,5.0,0.0
1454.5454545454545,4.399999999999999e-06,5.0,0.0
1454.5454545454545,4.5e-06,5.0,0.0
1454.5454545454545,4.6e-06,5.0,0.0
1454.5454545454545,4.7e-06,5.0,0.0
1454.5454545454545,4.8e-06,5.0,0.0
1454.5454545454545,4.9e-06,5.0,0.0
1454.5454545454545,4.9999999999999996e-06,5.0,0.0
1454.5454545454545,5.0999999999999995e-06,5.0,0.0
1454.5454545454545,5.199999999999999e-06,5.0,0.0
1454.5454545454545,5.299999999999999e-06,5.0,0.0
1454.5454545454545,5.4e-06,5.0,0.0
1454.5454545454545,5.5e-06,5.0,0.0
1454.5454545454545,5.6e-06,5.0,0.0
1454.5454545454545,5.7e-06,5.0,0.0
1454.5454545454545,5.7999999999999995e-06,5.0,0.0
1454.5454545454545,5.899999999999999e-06,5.0,0.0
1454.5454545454545,5.999999999999999e-06,5.0,0.0
1454.5454545454545,6.1e-06,5.0,0.0
1454.5454545454545,6.2e-06,5.0,0.0
1454.5454545454545,6.3e-06,5.0,0.0
1454.5454545454545,6.4e-06,5.0,0.0
1454.5454545454545,6.5e-06,5.0,0.0
1454.5454545454545,6.5999999999999995e-06,5.0,0.0
1454.5454545454545,6.699999999999999e-06,5.0,0.0
