R,C,Vin,V_in,Vout,V_out,V_R,V_C,error
77800.0,3.334e-06,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
77800.0,4.445e-06,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
77800.0,5.556e-06,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
77800.0,6.667e-06,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
77800.0,7.778e-06,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
77800.0,8.889e-06,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
77800.0,1e-05,0.1,0.1,,0.10000000000000002,-1.3877787807814457e-17,0.10000000000000002,
88900.0,1e-09,0.1,0.1,,0.1,0.0,0.1,
88900.0,1.1120000000000001e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,2.223e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,3.334e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,4.445e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,5.556e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,6.667e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,7.778e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,8.889e-06,0.1,0.1,,0.1,0.0,0.1,
88900.0,1e-05,0.1,0.1,,0.1,0.0,0.1,
100000.0,1e-09,0.1,0.1,,0.1,0.0,0.1,
100000.0,1.1120000000000001e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,2.223e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,3.334e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,4.445e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,5.556e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,6.667e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,7.778e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,8.889e-06,0.1,0.1,,0.1,0.0,0.1,
100000.0,1e-05,0.1,0.1,,0.1,0.0,0.1,
